model,scope,draw,district_id,predicted_share,actual_share,error
national_anchored,national_draw,0,"",66.90857628109481,62.969101950749284,3.9394743303455257
national_anchored,national_draw,1,"",63.001830993630335,62.969101950749284,0.032729042881051384
national_anchored,national_draw,2,"",61.49342121770367,62.969101950749284,-1.475680733045614
national_anchored,national_draw,3,"",62.18318943195618,62.969101950749284,-0.7859125187931042
national_anchored,national_draw,4,"",70.09400384037082,62.969101950749284,7.124901889621533
national_anchored,national_draw,5,"",49.94575205576776,62.969101950749284,-13.023349894981521
national_anchored,national_draw,6,"",57.657419967633814,62.969101950749284,-5.31168198311547
national_anchored,national_draw,7,"",60.40327563728668,62.969101950749284,-2.565826313462601
national_anchored,national_draw,8,"",67.42367033906426,62.969101950749284,4.454568388314975
national_anchored,national_draw,9,"",61.32198788067479,62.969101950749284,-1.647114070074494
national_anchored,national_draw,10,"",64.0488187410022,62.969101950749284,1.0797167902529097
national_anchored,national_draw,11,"",67.48057395462978,62.969101950749284,4.511472003880492
national_anchored,national_draw,12,"",63.75099345306037,62.969101950749284,0.7818915023110833
national_anchored,national_draw,13,"",66.97302334204684,62.969101950749284,4.00392139129756
national_anchored,national_draw,14,"",49.182275977965105,62.969101950749284,-13.786825972784179
national_anchored,national_draw,15,"",74.08131257057697,62.969101950749284,11.112210619827685
national_anchored,national_draw,16,"",63.63677996538464,62.969101950749284,0.6676780146353565
national_anchored,national_draw,17,"",65.30971902535639,62.969101950749284,2.3406170746071027
national_anchored,national_draw,18,"",68.16155917937932,62.969101950749284,5.19245722863004
national_anchored,national_draw,19,"",69.66527623055973,62.969101950749284,6.696174279810442
national_anchored,national_draw,20,"",63.6274545310635,62.969101950749284,0.6583525803142152
national_anchored,national_draw,21,"",67.35807375675283,62.969101950749284,4.388971806003546
national_anchored,national_draw,22,"",63.33943941536544,62.969101950749284,0.37033746461615635
national_anchored,national_draw,23,"",67.16769178350063,62.969101950749284,4.198589832751345
national_anchored,national_draw,24,"",57.29223457465251,62.969101950749284,-5.676867376096773
national_anchored,national_draw,25,"",66.75750655336819,62.969101950749284,3.788404602618904
national_anchored,national_draw,26,"",55.65211919687051,62.969101950749284,-7.316982753878776
national_anchored,national_draw,27,"",67.65966615083627,62.969101950749284,4.690564200086989
national_anchored,national_draw,28,"",67.70497529694757,62.969101950749284,4.735873346198282
national_anchored,national_draw,29,"",64.94969032056157,62.969101950749284,1.9805883698122884
national_anchored,national_draw,30,"",65.39670178315923,62.969101950749284,2.427599832409946
national_anchored,national_draw,31,"",63.71449961231354,62.969101950749284,0.7453976615642546
national_anchored,national_draw,32,"",62.21362174039427,62.969101950749284,-0.7554802103550173
national_anchored,national_draw,33,"",63.37452059130917,62.969101950749284,0.40541864055988697
national_anchored,national_draw,34,"",58.60572430706079,62.969101950749284,-4.363377643688494
national_anchored,national_draw,35,"",56.788698053724154,62.969101950749284,-6.18040389702513
national_anchored,national_draw,36,"",63.43275377374821,62.969101950749284,0.4636518229989264
national_anchored,national_draw,37,"",61.33319455979092,62.969101950749284,-1.6359073909583657
national_anchored,national_draw,38,"",76.11383483810988,62.969101950749284,13.144732887360597
national_anchored,national_draw,39,"",65.22885781503366,62.969101950749284,2.2597558642843794
national_anchored,national_draw,40,"",60.403478765559015,62.969101950749284,-2.565623185190269
national_anchored,national_draw,41,"",55.03863257370977,62.969101950749284,-7.930469377039515
national_anchored,national_draw,42,"",74.70191560809715,62.969101950749284,11.732813657347869
national_anchored,national_draw,43,"",77.12486426472563,62.969101950749284,14.155762313976346
national_anchored,national_draw,44,"",70.56956175005993,62.969101950749284,7.600459799310649
national_anchored,national_draw,45,"",56.54757094479969,62.969101950749284,-6.421531005949596
national_anchored,national_draw,46,"",74.61702414818909,62.969101950749284,11.647922197439804
national_anchored,national_draw,47,"",67.41862906466886,62.969101950749284,4.449527113919579
national_anchored,national_draw,48,"",70.16178174333409,62.969101950749284,7.192679792584805
national_anchored,national_draw,49,"",60.3635548269406,62.969101950749284,-2.605547123808684
national_anchored,national_draw,50,"",76.97752471072745,62.969101950749284,14.008422759978167
national_anchored,national_draw,51,"",59.24269994498687,62.969101950749284,-3.7264020057624165
national_anchored,national_draw,52,"",66.78982241487708,62.969101950749284,3.8207204641277954
national_anchored,national_draw,53,"",71.14346605942393,62.969101950749284,8.174364108674645
national_anchored,national_draw,54,"",63.22908998141584,62.969101950749284,0.2599880306665554
national_anchored,national_draw,55,"",63.774145459555676,62.969101950749284,0.8050435088063921
national_anchored,national_draw,56,"",66.28424768639783,62.969101950749284,3.3151457356485494
national_anchored,national_draw,57,"",65.74870692119656,62.969101950749284,2.7796049704472736
national_anchored,national_draw,58,"",58.891472695901584,62.969101950749284,-4.0776292548477
national_anchored,national_draw,59,"",61.86362480232215,62.969101950749284,-1.1054771484271342
national_anchored,national_draw,60,"",71.08552371973848,62.969101950749284,8.116421768989191
national_anchored,national_draw,61,"",65.05938882072935,62.969101950749284,2.090286869980069
national_anchored,national_draw,62,"",66.92556749942102,62.969101950749284,3.956465548671737
national_anchored,national_draw,63,"",61.48313323236473,62.969101950749284,-1.4859687183845551
national_anchored,national_draw,64,"",65.03141482604175,62.969101950749284,2.06231287529247
national_anchored,national_draw,65,"",60.90265033690786,62.969101950749284,-2.066451613841423
national_anchored,national_draw,66,"",58.53137474283211,62.969101950749284,-4.4377272079171775
national_anchored,national_draw,67,"",68.92393651789067,62.969101950749284,5.954834567141383
national_anchored,national_draw,68,"",59.166919249748496,62.969101950749284,-3.8021827010007883
national_anchored,national_draw,69,"",63.875723445381425,62.969101950749284,0.9066214946321409
national_anchored,national_draw,70,"",67.69787273224307,62.969101950749284,4.728770781493786
national_anchored,national_draw,71,"",64.42092434489804,62.969101950749284,1.4518223941487562
national_anchored,national_draw,72,"",72.92032831345665,62.969101950749284,9.951226362707366
national_anchored,national_draw,73,"",63.73602197607846,62.969101950749284,0.7669200253291777
national_anchored,national_draw,74,"",58.02122501167353,62.969101950749284,-4.947876939075755
national_anchored,national_draw,75,"",60.05368726403506,62.969101950749284,-2.9154146867142217
national_anchored,national_draw,76,"",73.57228927801957,62.969101950749284,10.603187327270284
national_anchored,national_draw,77,"",65.5366871703883,62.969101950749284,2.567585219639021
national_anchored,national_draw,78,"",68.61823539284396,62.969101950749284,5.649133442094673
national_anchored,national_draw,79,"",67.33824797571712,62.969101950749284,4.36914602496784
national_anchored,national_draw,80,"",68.19340876917217,62.969101950749284,5.224306818422882
national_anchored,national_draw,81,"",61.169583969523,62.969101950749284,-1.7995179812262805
national_anchored,national_draw,82,"",67.88802387791307,62.969101950749284,4.918921927163787
national_anchored,national_draw,83,"",54.752664898665884,62.969101950749284,-8.2164370520834
national_anchored,national_draw,84,"",63.978118560848195,62.969101950749284,1.0090166100989109
national_anchored,national_draw,85,"",65.80999164427234,62.969101950749284,2.84088969352306
national_anchored,national_draw,86,"",59.15773000370086,62.969101950749284,-3.8113719470484213
