model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
national_anchored,63,calibration,199.0,22.0,144.0,168.0,8.0,12.0,24.0,15.825674555289279,NaN
national_anchored,64,reference,191.0,36.0,138.0,163.0,10.0,13.0,26.0,NaN,NaN
national_anchored,65,calibration,168.0,37.0,153.0,170.0,10.0,13.0,26.0,25.818831851623447,NaN
national_anchored,66,reference,155.0,46.0,151.0,175.0,10.0,12.0,28.0,NaN,NaN
national_anchored,67,calibration,187.0,41.0,128.0,173.0,11.0,13.0,24.0,15.680226629704496,NaN
national_anchored,68,reference,206.0,46.0,93.0,178.0,9.0,13.0,32.0,NaN,NaN
national_anchored,69,calibration,215.0,45.0,80.0,185.0,8.0,12.0,32.0,39.73974358126128,NaN
national_anchored,70,reference,186.0,43.0,118.0,179.0,8.0,13.0,30.0,NaN,NaN
national_anchored,71,calibration,217.0,37.0,121.0,160.0,10.0,13.0,19.0,15.829350075085738,NaN
national_anchored,72,reference,171.0,35.0,134.0,188.0,7.0,12.0,30.0,NaN,NaN
national_anchored,73,calibration,190.0,49.0,109.0,175.0,10.0,13.0,31.0,22.35613026090122,NaN
national_anchored,74,reference,217.0,32.0,150.0,129.0,8.0,13.0,28.0,NaN,NaN
national_anchored,75,calibration,183.0,32.0,160.0,160.0,8.0,13.0,21.0,21.643430055213923,NaN
national_anchored,76,reference,160.0,20.0,178.0,171.0,10.0,13.0,25.0,NaN,NaN
national_anchored,77,calibration,212.0,30.0,167.0,123.0,9.0,13.0,23.0,37.79840598633588,NaN
national_anchored,78,reference,195.0,36.0,156.0,146.0,8.0,13.0,23.0,NaN,NaN
national_anchored,79,calibration,162.0,25.0,181.0,165.0,7.0,12.0,25.0,41.82418172367548,NaN
national_anchored,80,reference,182.0,38.0,137.0,177.0,11.0,13.0,19.0,NaN,NaN
national_anchored,81,calibration,202.0,36.0,138.0,156.0,10.0,10.0,25.0,13.158193061294437,NaN
national_anchored,82,reference,232.0,37.0,96.0,169.0,9.0,12.0,22.0,NaN,NaN
national_anchored,83,calibration,166.0,39.0,140.0,192.0,8.0,13.0,19.0,32.48633033759215,NaN
national_anchored,84,reference,231.0,35.0,90.0,172.0,9.0,12.0,28.0,NaN,NaN
national_anchored,85,calibration,221.0,40.0,98.0,173.0,9.0,13.0,23.0,25.04561809259091,NaN
national_anchored,86,reference,173.0,36.0,145.0,170.0,10.0,13.0,30.0,NaN,NaN
national_anchored,87,calibration,195.0,35.0,158.0,149.0,8.0,13.0,19.0,20.724255154056163,NaN
