model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
national,69,calibration,206.0,39.0,110.0,179.0,9.0,10.0,24.0,19.340157839506187,NaN
national,70,reference,224.0,38.0,101.0,163.0,10.0,13.0,28.0,NaN,NaN
national,71,calibration,233.0,38.0,93.0,166.0,9.0,14.0,24.0,32.869877687296835,NaN
national,72,reference,163.0,25.0,202.0,142.0,12.0,13.0,20.0,NaN,NaN
national,73,calibration,183.0,42.0,129.0,177.0,9.0,10.0,27.0,19.334314374920563,NaN
national,74,reference,189.0,41.0,125.0,174.0,10.0,13.0,25.0,NaN,NaN
national,75,calibration,231.0,39.0,109.0,150.0,9.0,13.0,26.0,26.632710798977154,NaN
national,76,reference,225.0,38.0,103.0,164.0,11.0,12.0,24.0,NaN,NaN
national,77,calibration,214.0,22.0,144.0,153.0,7.0,13.0,24.0,17.7975547446578,NaN
national,78,reference,217.0,38.0,82.0,190.0,10.0,12.0,28.0,NaN,NaN
national,79,calibration,169.0,45.0,133.0,180.0,11.0,12.0,27.0,27.513251456580942,NaN
national,80,reference,176.0,38.0,157.0,160.0,11.0,13.0,22.0,NaN,NaN
national,81,calibration,199.0,38.0,123.0,171.0,10.0,12.0,24.0,13.52351550947996,NaN
national,82,reference,217.0,38.0,111.0,159.0,10.0,13.0,29.0,NaN,NaN
national,83,calibration,159.0,19.0,204.0,147.0,8.0,13.0,27.0,59.97260318958985,NaN
national,84,reference,160.0,38.0,175.0,155.0,8.0,13.0,28.0,NaN,NaN
national,85,calibration,172.0,30.0,176.0,153.0,9.0,12.0,25.0,33.577715717429626,NaN
national,86,reference,149.0,40.0,179.0,164.0,10.0,13.0,22.0,NaN,NaN
national,87,calibration,175.0,43.0,128.0,179.0,11.0,12.0,29.0,24.09905052263669,NaN
national,88,reference,191.0,42.0,129.0,170.0,10.0,13.0,22.0,NaN,NaN
national,89,calibration,240.0,40.0,107.0,140.0,7.0,12.0,31.0,36.48212590409315,NaN
national,90,reference,204.0,25.0,189.0,118.0,11.0,13.0,17.0,NaN,NaN
national,91,calibration,197.0,26.0,164.0,152.0,9.0,12.0,17.0,22.526917450312244,NaN
national,92,reference,173.0,27.0,185.0,150.0,10.0,13.0,19.0,NaN,NaN
national,93,calibration,206.0,39.0,126.0,158.0,10.0,12.0,26.0,12.89511079834038,NaN
national,94,reference,202.0,43.0,113.0,170.0,10.0,13.0,26.0,NaN,NaN
national,95,calibration,238.0,36.0,111.0,147.0,9.0,13.0,23.0,30.61617922654872,NaN
national,96,reference,228.0,37.0,76.0,186.0,10.0,13.0,27.0,NaN,NaN
national,97,calibration,191.0,38.0,133.0,168.0,10.0,14.0,23.0,13.668081938914835,NaN
national,98,reference,189.0,39.0,138.0,170.0,9.0,13.0,19.0,NaN,NaN
national,99,calibration,145.0,37.0,202.0,150.0,10.0,13.0,20.0,64.55139294605578,NaN
national,100,reference,225.0,37.0,102.0,166.0,10.0,14.0,23.0,NaN,NaN
national,101,calibration,201.0,33.0,129.0,165.0,10.0,13.0,26.0,11.919721922485767,NaN
national,102,reference,217.0,25.0,130.0,167.0,7.0,10.0,21.0,NaN,NaN
national,103,calibration,209.0,45.0,91.0,180.0,12.0,14.0,26.0,30.799520940514416,NaN
national,104,reference,166.0,39.0,156.0,170.0,10.0,12.0,24.0,NaN,NaN
national,105,calibration,170.0,42.0,139.0,180.0,10.0,12.0,24.0,26.24170955266879,NaN
national,106,reference,200.0,23.0,163.0,144.0,9.0,13.0,25.0,NaN,NaN
national,107,calibration,225.0,40.0,89.0,173.0,12.0,13.0,25.0,32.670581225940595,NaN
national,108,reference,209.0,26.0,144.0,157.0,9.0,13.0,19.0,NaN,NaN
national,109,calibration,219.0,37.0,95.0,178.0,9.0,12.0,27.0,27.991026242062272,NaN
national,110,reference,230.0,42.0,96.0,162.0,9.0,10.0,28.0,NaN,NaN
national,111,calibration,213.0,23.0,115.0,176.0,10.0,13.0,27.0,19.47778095720499,NaN
national,112,reference,229.0,40.0,77.0,176.0,9.0,14.0,32.0,NaN,NaN
national,113,calibration,203.0,39.0,130.0,158.0,11.0,13.0,23.0,12.485310386093094,NaN
national,114,reference,196.0,38.0,143.0,158.0,7.0,13.0,22.0,NaN,NaN
national,115,calibration,200.0,36.0,135.0,159.0,10.0,14.0,23.0,12.109270537356846,NaN
national,116,reference,215.0,25.0,177.0,122.0,8.0,12.0,18.0,NaN,NaN
national,117,calibration,200.0,35.0,130.0,167.0,9.0,13.0,23.0,11.999519134953761,NaN
national,118,reference,205.0,38.0,146.0,145.0,8.0,12.0,23.0,NaN,NaN
national,119,calibration,221.0,26.0,144.0,146.0,8.0,12.0,20.0,21.12958821850206,NaN
