model,party,actual,p05,p25,median,p75,p95
kernel,DIV,10.0,7.0,9.0,10.0,10.0,11.0
kernel,NFP+,181.0,174.0,190.0,200.0,211.0,226.0
kernel,DVG,12.0,11.0,12.0,13.0,13.0,14.0
kernel,ENS+,165.0,141.0,154.0,162.0,169.0,178.0
kernel,LR,39.0,25.0,30.0,34.0,37.0,41.0
kernel,DVD,27.0,20.0,22.0,24.0,26.0,28.0
kernel,RN+,143.0,99.0,120.0,136.0,152.0,176.04999999999973
