model,party,actual,p05,p25,median,p75,p95
national_anchored,DIV,10.0,7.0,9.0,10.0,10.0,12.0
national_anchored,NFP+,181.0,156.0,188.0,204.0,218.0,235.0
national_anchored,DVG,12.0,11.0,12.0,13.0,13.0,14.0
national_anchored,ENS+,165.0,128.0,152.0,164.0,174.0,184.0
national_anchored,LR,39.0,19.0,26.0,36.0,39.0,44.0
national_anchored,DVD,27.0,18.0,21.75,24.0,27.0,30.0
national_anchored,RN+,143.0,83.0,110.0,130.0,157.0,198.0
