model,party,actual,p05,p25,median,p75,p95
national,DIV,10.0,7.0,9.0,10.0,10.0,12.0
national,NFP+,181.0,156.0,188.0,204.0,217.0,234.0
national,DVG,12.0,11.0,12.0,13.0,13.0,14.0
national,ENS+,165.0,130.95,152.0,164.0,173.0,183.0
national,LR,39.0,19.0,26.0,36.0,39.0,44.0
national,DVD,27.0,18.0,22.0,24.0,26.0,30.0
national,RN+,143.0,83.0,110.0,133.0,158.0,199.0
