model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
kernel_anchored,61,calibration,218.0,14.0,147.0,151.0,10.0,13.0,24.0,21.658890469436344,NaN
kernel_anchored,62,reference,181.0,21.0,156.0,175.0,10.0,12.0,22.0,NaN,NaN
kernel_anchored,63,calibration,232.0,36.0,103.0,168.0,9.0,11.0,18.0,54.052130227069874,NaN
kernel_anchored,64,reference,214.0,14.0,189.0,122.0,10.0,13.0,15.0,NaN,NaN
kernel_anchored,65,calibration,193.0,41.0,148.0,154.0,9.0,14.0,18.0,23.70540923184474,NaN
kernel_anchored,66,reference,183.0,23.0,205.0,128.0,10.0,13.0,15.0,NaN,NaN
kernel_anchored,67,calibration,184.0,18.0,182.0,146.0,9.0,13.0,25.0,18.58870562909462,NaN
kernel_anchored,68,reference,227.0,17.0,161.0,137.0,10.0,11.0,14.0,NaN,NaN
kernel_anchored,69,calibration,228.0,15.0,131.0,164.0,10.0,14.0,15.0,33.88924011519217,NaN
kernel_anchored,70,reference,186.0,13.0,222.0,117.0,9.0,13.0,17.0,NaN,NaN
kernel_anchored,71,calibration,233.0,34.0,114.0,153.0,9.0,12.0,22.0,44.26593405090636,NaN
kernel_anchored,72,reference,210.0,14.0,197.0,125.0,10.0,12.0,9.0,NaN,NaN
kernel_anchored,73,calibration,212.0,15.0,158.0,151.0,8.0,12.0,21.0,16.988811647880915,NaN
kernel_anchored,74,reference,152.0,25.0,187.0,166.0,12.0,13.0,22.0,NaN,NaN
kernel_anchored,75,calibration,221.0,40.0,115.0,160.0,12.0,11.0,18.0,41.623689733385994,NaN
kernel_anchored,76,reference,245.0,6.0,178.0,116.0,9.0,11.0,12.0,NaN,NaN
kernel_anchored,77,calibration,176.0,31.0,195.0,137.0,9.0,13.0,16.0,25.341180846291635,NaN
kernel_anchored,78,reference,175.0,25.0,186.0,152.0,7.0,13.0,19.0,NaN,NaN
kernel_anchored,79,calibration,234.0,19.0,114.0,162.0,10.0,11.0,27.0,45.59408655863276,NaN
kernel_anchored,80,reference,224.0,30.0,129.0,154.0,8.0,12.0,20.0,NaN,NaN
kernel_anchored,81,calibration,208.0,45.0,112.0,164.0,7.0,14.0,27.0,44.65569462512001,NaN
kernel_anchored,82,reference,176.0,15.0,221.0,126.0,9.0,12.0,18.0,NaN,NaN
kernel_anchored,83,calibration,211.0,13.0,167.0,149.0,9.0,11.0,17.0,15.85651490998422,NaN
kernel_anchored,84,reference,168.0,9.0,249.0,115.0,8.0,13.0,15.0,NaN,NaN
kernel_anchored,85,calibration,180.0,30.0,199.0,127.0,9.0,13.0,19.0,26.420757022152507,NaN
kernel_anchored,86,reference,191.0,12.0,181.0,139.0,10.0,12.0,32.0,NaN,NaN
kernel_anchored,87,calibration,215.0,16.0,128.0,173.0,11.0,14.0,20.0,34.54266738509184,NaN
kernel_anchored,88,reference,175.0,26.0,180.0,151.0,9.0,13.0,23.0,NaN,NaN
kernel_anchored,89,calibration,234.0,31.0,113.0,152.0,10.0,12.0,25.0,45.114097666081754,NaN
kernel_anchored,90,reference,177.0,26.0,145.0,191.0,9.0,12.0,17.0,NaN,NaN
kernel_anchored,91,calibration,195.0,16.0,220.0,109.0,8.0,14.0,15.0,38.21796731751288,NaN
kernel_anchored,92,reference,208.0,14.0,168.0,145.0,10.0,14.0,18.0,NaN,NaN
kernel_anchored,93,calibration,219.0,22.0,165.0,128.0,7.0,12.0,24.0,19.99417353602189,NaN
kernel_anchored,94,reference,208.0,38.0,146.0,137.0,9.0,13.0,26.0,NaN,NaN
kernel_anchored,95,calibration,210.0,12.0,196.0,123.0,9.0,12.0,15.0,22.68542236402397,NaN
kernel_anchored,96,reference,197.0,11.0,175.0,154.0,9.0,13.0,18.0,NaN,NaN
