model,scope,draw,district_id,predicted_share,actual_share,error
national,national_draw,0,"",66.70066756952568,62.969101950749284,3.7315656187763935
national,national_draw,1,"",72.18136843316015,62.969101950749284,9.212266482410861
national,national_draw,2,"",61.309100776760204,62.969101950749284,-1.6600011739890803
national,national_draw,3,"",61.557796722105216,62.969101950749284,-1.4113052286440677
national,national_draw,4,"",64.64533722859494,62.969101950749284,1.676235277845656
national,national_draw,5,"",63.770475300998584,62.969101950749284,0.8013733502492997
national,national_draw,6,"",66.0443485802107,62.969101950749284,3.075246629461411
national,national_draw,7,"",68.90240492102245,62.969101950749284,5.933302970273168
national,national_draw,8,"",64.49140523884896,62.969101950749284,1.5223032880996712
national,national_draw,9,"",67.26838339141071,62.969101950749284,4.299281440661424
national,national_draw,10,"",77.63423610693218,62.969101950749284,14.665134156182894
national,national_draw,11,"",70.02209412368605,62.969101950749284,7.0529921729367615
national,national_draw,12,"",69.69733356517655,62.969101950749284,6.728231614427266
national,national_draw,13,"",63.46225353875419,62.969101950749284,0.4931515880049062
national,national_draw,14,"",61.32608045370731,62.969101950749284,-1.6430214970419712
national,national_draw,15,"",68.81042705434068,62.969101950749284,5.8413251035913945
national,national_draw,16,"",68.03780327945518,62.969101950749284,5.068701328705892
national,national_draw,17,"",77.44216447577821,62.969101950749284,14.47306252502893
national,national_draw,18,"",59.87251992786453,62.969101950749284,-3.0965820228847534
national,national_draw,19,"",73.36379426439163,62.969101950749284,10.394692313642345
national,national_draw,20,"",66.44657025875703,62.969101950749284,3.477468308007751
national,national_draw,21,"",67.95203929128638,62.969101950749284,4.982937340537099
national,national_draw,22,"",66.42826101493642,62.969101950749284,3.4591590641871406
national,national_draw,23,"",61.035189226334964,62.969101950749284,-1.93391272441432
national,national_draw,24,"",62.8333845655152,62.969101950749284,-0.13571738523408072
national,national_draw,25,"",68.44518857101546,62.969101950749284,5.47608662026618
national,national_draw,26,"",63.04639687492693,62.969101950749284,0.07729492417764305
national,national_draw,27,"",64.47644761152198,62.969101950749284,1.5073456607726925
national,national_draw,28,"",64.84163992933075,62.969101950749284,1.8725379785814695
national,national_draw,29,"",65.98118953716738,62.969101950749284,3.0120875864180974
national,national_draw,30,"",68.26505765068903,62.969101950749284,5.295955699939746
national,national_draw,31,"",68.22545917896153,62.969101950749284,5.256357228212245
national,national_draw,32,"",61.559774914484734,62.969101950749284,-1.4093270362645498
national,national_draw,33,"",65.54505005369164,62.969101950749284,2.5759481029423554
national,national_draw,34,"",64.64022208937325,62.969101950749284,1.6711201386239694
national,national_draw,35,"",58.67394309070607,62.969101950749284,-4.295158860043216
national,national_draw,36,"",70.06614756775015,62.969101950749284,7.097045617000866
national,national_draw,37,"",69.01341452185716,62.969101950749284,6.044312571107874
national,national_draw,38,"",71.59537337504018,62.969101950749284,8.626271424290898
national,national_draw,39,"",62.84613778943211,62.969101950749284,-0.1229641613171708
national,national_draw,40,"",65.19670584110813,62.969101950749284,2.227603890358843
national,national_draw,41,"",62.2301028297638,62.969101950749284,-0.7389991209854827
national,national_draw,42,"",63.423562219424745,62.969101950749284,0.4544602686754615
national,national_draw,43,"",64.24444280864631,62.969101950749284,1.275340857897028
national,national_draw,44,"",73.31118635013095,62.969101950749284,10.342084399381669
national,national_draw,45,"",65.50081887238926,62.969101950749284,2.531716921639976
national,national_draw,46,"",71.40822298793886,62.969101950749284,8.439121037189572
national,national_draw,47,"",68.84363160204106,62.969101950749284,5.874529651291773
national,national_draw,48,"",65.63406640249373,62.969101950749284,2.6649644517444457
national,national_draw,49,"",79.19750436604602,62.969101950749284,16.228402415296735
national,national_draw,50,"",75.33754782949478,62.969101950749284,12.368445878745497
national,national_draw,51,"",73.00886223261193,62.969101950749284,10.039760281862648
national,national_draw,52,"",62.72817335354552,62.969101950749284,-0.24092859720376225
national,national_draw,53,"",67.0072920049012,62.969101950749284,4.038190054151919
national,national_draw,54,"",64.22167397593746,62.969101950749284,1.2525720251881793
national,national_draw,55,"",70.29312725416118,62.969101950749284,7.324025303411894
national,national_draw,56,"",64.14883171582059,62.969101950749284,1.1797297650713077
national,national_draw,57,"",69.55362954559813,62.969101950749284,6.5845275948488435
national,national_draw,58,"",66.51020711489551,62.969101950749284,3.5411051641462237
national,national_draw,59,"",72.9752144959537,62.969101950749284,10.00611254520441
national,national_draw,60,"",66.51230764589359,62.969101950749284,3.5432056951443016
national,national_draw,61,"",72.29694842012255,62.969101950749284,9.327846469373263
national,national_draw,62,"",71.36395718249914,62.969101950749284,8.394855231749851
national,national_draw,63,"",65.33557863939097,62.969101950749284,2.36647668864169
national,national_draw,64,"",63.71408412266556,62.969101950749284,0.744982171916277
national,national_draw,65,"",61.68944923361664,62.969101950749284,-1.2796527171326417
national,national_draw,66,"",62.38565984568854,62.969101950749284,-0.5834421050607475
national,national_draw,67,"",67.08944123313265,62.969101950749284,4.1203392823833624
national,national_draw,68,"",72.43319440051988,62.969101950749284,9.464092449770597
national,national_draw,69,"",61.79598770418402,62.969101950749284,-1.1731142465652624
national,national_draw,70,"",62.99546015236144,62.969101950749284,0.02635820161215463
national,national_draw,71,"",70.72734625215296,62.969101950749284,7.758244301403671
national,national_draw,72,"",70.34162643745857,62.969101950749284,7.372524486709288
national,national_draw,73,"",72.74827635850745,62.969101950749284,9.77917440775817
national,national_draw,74,"",75.77972807079685,62.969101950749284,12.810626120047566
national,national_draw,75,"",63.87857878257333,62.969101950749284,0.909476831824044
national,national_draw,76,"",71.77498724158247,62.969101950749284,8.805885290833182
national,national_draw,77,"",68.48645592616232,62.969101950749284,5.517353975413037
national,national_draw,78,"",67.4615468370285,62.969101950749284,4.492444886279209
national,national_draw,79,"",63.89014093616604,62.969101950749284,0.9210389854167573
national,national_draw,80,"",61.44848370399972,62.969101950749284,-1.5206182467495637
national,national_draw,81,"",66.84270039740893,62.969101950749284,3.873598446659649
national,national_draw,82,"",64.07342265298958,62.969101950749284,1.1043207022402939
national,national_draw,83,"",61.80842007776166,62.969101950749284,-1.1606818729876238
national,national_draw,84,"",71.32211045012095,62.969101950749284,8.353008499371661
national,national_draw,85,"",66.76069428227845,62.969101950749284,3.7915923315291664
national,national_draw,86,"",66.50015457369042,62.969101950749284,3.5310526229411394
national,national_draw,87,"",68.14669619136106,62.969101950749284,5.177594240611775
national,national_draw,88,"",74.9230276573685,62.969101950749284,11.95392570661921
national,national_draw,89,"",59.45673020403611,62.969101950749284,-3.512371746713171
national,national_draw,90,"",65.06319516755994,62.969101950749284,2.0940932168106556
national,national_draw,91,"",68.8217699217303,62.969101950749284,5.85266797098101
national,national_draw,92,"",66.07817867065887,62.969101950749284,3.109076719909588
national,national_draw,93,"",70.81645031543627,62.969101950749284,7.847348364686987
national,national_draw,94,"",71.52504251901772,62.969101950749284,8.555940568268433
national,national_draw,95,"",59.24132882914856,62.969101950749284,-3.727773121600727
national,national_draw,96,"",64.28429519071425,62.969101950749284,1.3151932399649624
national,national_draw,97,"",72.73519997597546,62.969101950749284,9.766098025226178
national,national_draw,98,"",74.07823563890616,62.969101950749284,11.10913368815688
national,national_draw,99,"",67.92326663316435,62.969101950749284,4.954164682415062
national,national_draw,100,"",68.43809754769008,62.969101950749284,5.468995596940793
national,national_draw,101,"",63.7943290233438,62.969101950749284,0.8252270725945152
national,national_draw,102,"",67.33714231159836,62.969101950749284,4.368040360849072
national,national_draw,103,"",71.71741422602854,62.969101950749284,8.748312275279254
national,national_draw,104,"",64.87628714941994,62.969101950749284,1.9071851986706534
national,national_draw,105,"",66.59275336656835,62.969101950749284,3.6236514158190616
national,national_draw,106,"",71.47636098193037,62.969101950749284,8.507259031181086
national,national_draw,107,"",80.12968309058004,62.969101950749284,17.16058113983076
national,national_draw,108,"",62.18077959199794,62.969101950749284,-0.7883223587513442
national,national_draw,109,"",67.34112639566725,62.969101950749284,4.372024444917962
national,national_draw,110,"",63.72631567624668,62.969101950749284,0.7572137254973939
national,national_draw,111,"",58.812005684175375,62.969101950749284,-4.157096266573909
national,national_draw,112,"",60.10826875412359,62.969101950749284,-2.8608331966256912
national,national_draw,113,"",65.83754784103616,62.969101950749284,2.8684458902868712
national,national_draw,114,"",71.13728680504826,62.969101950749284,8.168184854298978
national,national_draw,115,"",68.23209547194996,62.969101950749284,5.262993521200677
national,national_draw,116,"",71.27131914893225,62.969101950749284,8.302217198182966
national,national_draw,117,"",73.01045494292914,62.969101950749284,10.04135299217986
national,national_draw,118,"",66.4943977337902,62.969101950749284,3.52529578304091
national,national_draw,119,"",66.99491733821912,62.969101950749284,4.025815387469841
national,national_draw,120,"",63.15870372677364,62.969101950749284,0.1896017760243538
national,national_draw,121,"",61.11911351867357,62.969101950749284,-1.8499884320757118
national,national_draw,122,"",65.65019663393832,62.969101950749284,2.6810946831890377
national,national_draw,123,"",59.42322558047886,62.969101950749284,-3.5458763702704275
national,national_draw,124,"",72.13893539872313,62.969101950749284,9.16983344797385
national,national_draw,125,"",69.78256434163045,62.969101950749284,6.813462390881163
national,national_draw,126,"",65.62729161295597,62.969101950749284,2.658189662206688
national,national_draw,127,"",64.78447778687315,62.969101950749284,1.81537583612387
national,national_draw,128,"",61.33699398179403,62.969101950749284,-1.6321079689552533
national,national_draw,129,"",71.54050796702555,62.969101950749284,8.571406016276264
national,national_draw,130,"",72.39499936049218,62.969101950749284,9.425897409742895
national,national_draw,131,"",67.09272129307581,62.969101950749284,4.123619342326528
national,national_draw,132,"",61.44520133578075,62.969101950749284,-1.5239006149685324
national,national_draw,133,"",69.41338563147697,62.969101950749284,6.444283680727686
national,national_draw,134,"",62.424411180189345,62.969101950749284,-0.5446907705599386
national,national_draw,135,"",69.52736136674305,62.969101950749284,6.558259415993767
national,national_draw,136,"",67.86200960939841,62.969101950749284,4.892907658649129
national,national_draw,137,"",77.5460461208744,62.969101950749284,14.57694417012511
national,national_draw,138,"",62.60618328462525,62.969101950749284,-0.3629186661240311
national,national_draw,139,"",68.05954723769901,62.969101950749284,5.090445286949723
national,national_draw,140,"",61.468466447791336,62.969101950749284,-1.5006355029579481
national,national_draw,141,"",63.589769619992474,62.969101950749284,0.6206676692431898
national,national_draw,142,"",59.249936389689026,62.969101950749284,-3.719165561060258
national,national_draw,143,"",67.35746668021163,62.969101950749284,4.388364729462346
national,national_draw,144,"",69.1688261164051,62.969101950749284,6.199724165655816
national,national_draw,145,"",60.0534610530045,62.969101950749284,-2.9156408977447867
national,national_draw,146,"",66.20788992220395,62.969101950749284,3.238787971454663
national,national_draw,147,"",66.06084121095935,62.969101950749284,3.091739260210069
national,national_draw,148,"",68.59141322779158,62.969101950749284,5.622311277042293
national,national_draw,149,"",62.531935284532736,62.969101950749284,-0.4371666662165481
national,national_draw,150,"",73.9387973130469,62.969101950749284,10.969695362297621
national,national_draw,151,"",74.18189107297178,62.969101950749284,11.212789122222496
national,national_draw,152,"",72.27886769560831,62.969101950749284,9.309765744859028
national,national_draw,153,"",70.28060254955066,62.969101950749284,7.311500598801381
national,national_draw,154,"",68.62819098646452,62.969101950749284,5.659089035715233
national,national_draw,155,"",70.36789230803784,62.969101950749284,7.398790357288554
national,national_draw,156,"",81.53687958826083,62.969101950749284,18.567777637511547
national,national_draw,157,"",76.68834391573925,62.969101950749284,13.719241964989969
national,national_draw,158,"",61.39265805324311,62.969101950749284,-1.5764438975061736
national,national_draw,159,"",70.54265417880214,62.969101950749284,7.573552228052854
national,national_draw,160,"",61.094747359095855,62.969101950749284,-1.8743545916534288
national,national_draw,161,"",61.17284094670794,62.969101950749284,-1.796261004041341
national,national_draw,162,"",70.16455859914802,62.969101950749284,7.195456648398739
national,national_draw,163,"",65.76540037194172,62.969101950749284,2.7962984211924393
national,national_draw,164,"",63.21578507957746,62.969101950749284,0.2466831288281739
national,national_draw,165,"",64.80746359750927,62.969101950749284,1.838361646759985
national,national_draw,166,"",72.35352195224552,62.969101950749284,9.384420001496231
national,national_draw,167,"",76.98094557549575,62.969101950749284,14.011843624746469
national,national_draw,168,"",76.9881797119221,62.969101950749284,14.019077761172817
national,national_draw,169,"",67.77247851508801,62.969101950749284,4.803376564338727
national,national_draw,170,"",68.74460195272286,62.969101950749284,5.775500001973576
national,national_draw,171,"",63.362736843237535,62.969101950749284,0.3936348924882509
national,national_draw,172,"",71.31430616956655,62.969101950749284,8.345204218817265
national,national_draw,173,"",62.01774376240973,62.969101950749284,-0.9513581883395545
national,national_draw,174,"",64.24747357480068,62.969101950749284,1.2783716240513954
national,national_draw,175,"",67.86181802250518,62.969101950749284,4.892716071755892
national,national_draw,176,"",59.112046916906394,62.969101950749284,-3.85705503384289
national,national_draw,177,"",72.70768071162482,62.969101950749284,9.738578760875534
national,national_draw,178,"",62.63032784972404,62.969101950749284,-0.3387741010252441
national,national_draw,179,"",61.329425145373484,62.969101950749284,-1.6396768053757995
national,national_draw,180,"",63.887417170696004,62.969101950749284,0.9183152199467202
national,national_draw,181,"",72.63490308323095,62.969101950749284,9.665801132481668
national,national_draw,182,"",63.048218104550536,62.969101950749284,0.0791161538012517
national,national_draw,183,"",66.311695394198,62.969101950749284,3.3425934434487132
national,national_draw,184,"",66.0563585393129,62.969101950749284,3.087256588563612
national,national_draw,185,"",67.59210984235192,62.969101950749284,4.623007891602633
national,national_draw,186,"",72.793024593594,62.969101950749284,9.823922642844714
national,national_draw,187,"",68.40658727444307,62.969101950749284,5.437485323693785
national,national_draw,188,"",65.84157578234566,62.969101950749284,2.8724738315963734
national,national_draw,189,"",67.53987125222278,62.969101950749284,4.570769301473497
national,national_draw,190,"",62.79485020894167,62.969101950749284,-0.17425174180761616
national,national_draw,191,"",64.60911807267094,62.969101950749284,1.6400161219216542
national,national_draw,192,"",69.36410394267591,62.969101950749284,6.395001991926627
national,national_draw,193,"",75.66718346654046,62.969101950749284,12.69808151579118
national,national_draw,194,"",73.80511813536371,62.969101950749284,10.83601618461443
national,national_draw,195,"",74.07462549552045,62.969101950749284,11.105523544771167
national,national_draw,196,"",63.93788762154544,62.969101950749284,0.9687856707961586
national,national_draw,197,"",66.44246383606958,62.969101950749284,3.473361885320294
national,national_draw,198,"",71.2692532420715,62.969101950749284,8.300151291322216
national,national_draw,199,"",67.13547979440372,62.969101950749284,4.166377843654438
national,national_draw,200,"",65.50612790678,62.969101950749284,2.5370259560307105
national,national_draw,201,"",64.49462066706909,62.969101950749284,1.5255187163198016
national,national_draw,202,"",60.147924932746655,62.969101950749284,-2.821177018002629
