model,party,actual,p05,p25,median,p75,p95
kernel_anchored,DIV,10.0,8.0,9.0,10.0,10.0,11.0
kernel_anchored,NFP+,181.0,178.0,192.0,201.0,210.0,223.0
kernel_anchored,DVG,12.0,11.0,12.0,13.0,13.0,14.0
kernel_anchored,ENS+,165.0,145.95000000000002,156.0,162.0,169.0,177.0
kernel_anchored,LR,39.0,26.0,31.0,34.0,37.0,41.0
kernel_anchored,DVD,27.0,20.0,22.0,24.0,26.0,28.0
kernel_anchored,RN+,143.0,100.0,120.0,134.0,148.0,168.0
