Departement,CodCirElec,LibCirElec,NbSap,NbSiePourvus,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,Abstentions_RapportInscrits,Votants_RapportInscrits,Blancs_RapportInscrits,Blancs_RapportVotants,Nuls_RapportInscrits,Nuls_RapportVotants,Exprimes_RapportInscrits,Exprimes_RapportVotants,NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,NbVoix,RapportExprimes,RapportInscrits,Elu
93,9306,6äme circonscription,1,1,60823,24086,36737,518,257,35962,"39,6","60,4","0,85","1,41","0,42","0,7","59,13","97,89",3,LACHAUD,Bastien,M.,UG,Union de la gauche,25777,"71,68","42,38",OUI
93,9306,6äme circonscription,1,1,60823,24086,36737,518,257,35962,"39,6","60,4","0,85","1,41","0,42","0,7","59,13","97,89",4,ARTHAUD,Nathalie,Mme,EXG,Extràme gauche,996,"2,77","1,64",NON
93,9307,7äme circonscription,1,0,83457,28114,55343,824,267,54252,"33,69","66,31","0,99","1,49","0,32","0,48","65,01","98,03",1,DUTERTE,Yannick,M.,EXG,Extràme gauche,180,"0,33","0,22",NON
93,9307,7äme circonscription,1,0,83457,28114,55343,824,267,54252,"33,69","66,31","0,99","1,49","0,32","0,48","65,01","98,03",2,CORBI‘RE,Alexis,M.,DVG,Divers gauche,21802,"40,19","26,12",QUALIF T2
93,9307,7äme circonscription,1,0,83457,28114,55343,824,267,54252,"33,69","66,31","0,99","1,49","0,32","0,48","65,01","98,03",3,ATLANI,Sebastien,M.,DIV,Divers,78,"0,14","0,09",NON
93,9307,7äme circonscription,1,0,83457,28114,55343,824,267,54252,"33,69","66,31","0,99","1,49","0,32","0,48","65,01","98,03",4,JOCHAUD,AurÇlie,Mme,EXG,Extràme gauche,344,"0,63","0,41",NON
93,9307,7äme circonscription,1,0,83457,28114,55343,824,267,54252,"33,69","66,31","0,99","1,49","0,32","0,48","65,01","98,03",5,TROVA,Franáoise,Mme,RN,Rassemblement National,5254,"9,68","6,3",NON
93,9307,7äme circonscription,1,0,83457,28114,55343,824,267,54252,"33,69","66,31","0,99","1,49","0,32","0,48","65,01","98,03",6,BRETEAU,Pauline,Mme,ENS,Ensemble ! (MajoritÇ prÇsidentielle),5458,"10,06","6,54",NON
93,9307,7äme circonscription,1,0,83457,28114,55343,824,267,54252,"33,69","66,31","0,99","1,49","0,32","0,48","65,01","98,03",7,VERHAEGHE,Eric,M.,DVC,Divers centre,518,"0,95","0,62",NON
93,9307,7äme circonscription,1,0,83457,28114,55343,824,267,54252,"33,69","66,31","0,99","1,49","0,32","0,48","65,01","98,03",8,TOCHE,Antoine,M.,DVD,Divers droite,713,"1,31","0,85",NON
93,9307,7äme circonscription,1,0,83457,28114,55343,824,267,54252,"33,69","66,31","0,99","1,49","0,32","0,48","65,01","98,03",9,CAUDRON,Elsa,Mme,EXG,Extràme gauche,165,"0,3","0,2",NON
93,9307,7äme circonscription,1,0,83457,28114,55343,824,267,54252,"33,69","66,31","0,99","1,49","0,32","0,48","65,01","98,03",10,ALI-BENALI,Sabrina,Mme,UG,Union de la gauche,19740,"36,39","23,65",QUALIF T2
93,9308,8äme circonscription,1,0,62716,22608,40108,973,201,38934,"36,05","63,95","1,55","2,43","0,32","0,5","62,08","97,07",1,VALENTE,Sylvio,M.,REC,Reconquàte !,634,"1,63","1,01",NON
93,9308,8äme circonscription,1,0,62716,22608,40108,973,201,38934,"36,05","63,95","1,55","2,43","0,32","0,5","62,08","97,07",2,DUPUY,HÇläne,Mme,EXG,Extràme gauche,27,"0,07","0,04",NON
93,9308,8äme circonscription,1,0,62716,22608,40108,973,201,38934,"36,05","63,95","1,55","2,43","0,32","0,5","62,08","97,07",3,BARDAI,Ntela,M.,EXD,Extràme droite,86,"0,22","0,14",NON
93,9308,8äme circonscription,1,0,62716,22608,40108,973,201,38934,"36,05","63,95","1,55","2,43","0,32","0,5","62,08","97,07",4,YONBOUE,Franck,M.,LR,Les RÇpublicains,3844,"9,87","6,13",NON
93,9308,8äme circonscription,1,0,62716,22608,40108,973,201,38934,"36,05","63,95","1,55","2,43","0,32","0,5","62,08","97,07",5,TOBEILEM,GrÇgory,M.,EXG,Extràme gauche,509,"1,31","0,81",NON
93,9308,8äme circonscription,1,0,62716,22608,40108,973,201,38934,"36,05","63,95","1,55","2,43","0,32","0,5","62,08","97,07",6,JOLIVET,SÇbastien,M.,RN,Rassemblement National,9291,"23,86","14,81",QUALIF T2
93,9308,8äme circonscription,1,0,62716,22608,40108,973,201,38934,"36,05","63,95","1,55","2,43","0,32","0,5","62,08","97,07",7,FORT,Didier,M.,DVD,Divers droite,5350,"13,74","8,53",NON
93,9308,8äme circonscription,1,0,62716,22608,40108,973,201,38934,"36,05","63,95","1,55","2,43","0,32","0,5","62,08","97,07",8,KELOUA HACHI,Fatiha,Mme,UG,Union de la gauche,19193,"49,3","30,6",QUALIF T2
93,9309,9äme circonscription,1,1,76227,27841,48386,696,319,47371,"36,52","63,48","0,91","1,44","0,42","0,66","62,14","97,9",1,TROUVê,AurÇlie,Mme,UG,Union de la gauche,29935,"63,19","39,27",OUI
93,9309,9äme circonscription,1,1,76227,27841,48386,696,319,47371,"36,52","63,48","0,91","1,44","0,42","0,66","62,14","97,9",2,BUROT,Jean-Paul,M.,EXG,Extràme gauche,681,"1,44","0,89",NON
93,9309,9äme circonscription,1,1,76227,27841,48386,696,319,47371,"36,52","63,48","0,91","1,44","0,42","0,66","62,14","97,9",3,CHAUMETTE,Manon,Mme,ENS,Ensemble ! (MajoritÇ prÇsidentielle),7119,"15,03","9,34",NON
