modele,ordre,largeur_moyenne_sieges,partis_couverts,energy_score,percentile_joint,score_joint,couverture_scores_90,largeur_scores_90,vainqueur_correct
national,partiel,28.814285714285706,6,13.362286960746232,0.4,12.053112866074713,0.6645279560036663,6.25136164928883,0.8685129740518962
national,total,26.585714285714285,5,29.69116132273704,0.6,16.677685440072295,0.4692942254812099,5.2655174005525485,0.8413173652694611
national_anchored,partiel,22.76428571428571,7,13.773207465881327,0.2,4.12475779823194,0.6746104491292392,6.610902879904503,0.8592814371257484
national_anchored,total,16.035714285714285,3,47.95772619193886,1.0,39.79962014315586,0.43354720439963335,4.990711556769869,0.843313373253493
kernel_anchored,partiel,28.707142857142856,6,17.228122974249136,0.2,6.390193465950244,0.6452795600366636,7.296279364906234,0.840818363273453
kernel_anchored,total,13.442857142857141,1,40.007202261426585,1.0,35.16849957252706,0.46379468377635197,4.807989401887425,0.8448103792415169
