parti,parametre,colonne,part_variance,part_variance_min,part_variance_max,plancher_bruit,au_dessus_bruit,amplitude_p50,amplitude_largeur,plancher_p50,plancher_largeur,decale_vraiment,elargit_vraiment
RN+,Concentration α,alpha,0.15044024930377098,0.1461176899006751,0.15476280870686682,0.00835954752662765,true,27.25,14.550000000000011,6.25,15.974999999999996,true,false
RN+,Mélange national λ,mixing_weight,0.005757992243092647,0.005238323686002545,0.006277660800182748,0.00835954752662765,false,6.0,39.57499999999999,6.25,15.974999999999996,false,true
RN+,Démobilisation d,qualified_demobilisation,0.03967066516163535,0.030563301721625358,0.04877802860164535,0.00835954752662765,true,16.0,20.99999999999997,6.25,15.974999999999996,true,true
RN+,Dérive nationale δnat,delta_nat,0.01306646510828938,0.009219127845668916,0.016913802370909843,0.00835954752662765,true,8.0,16.999999999999986,6.25,15.974999999999996,true,true
RN+,Corrélation département ρd,department_correlation,0.008898551387946693,0.0058759505134628985,0.011921152262430488,0.00835954752662765,true,5.0,15.525000000000006,6.25,15.974999999999996,false,false
RN+,Tilt τ,tilt,0.005746742986927942,0.0053105400859590444,0.00618294588789684,0.00835954752662765,false,2.25,9.975000000000037,6.25,15.974999999999996,false,false
RN+,Corrélation région ρr,region_correlation,0.0048410798222359944,0.0015993337151789628,0.008082825929293026,0.00835954752662765,false,5.0,10.649999999999977,6.25,15.974999999999996,false,false
RN+,Rétention des non-exprimés,non_expressed_retention,0.003941707679333228,0.003802695982030417,0.004080719376636039,0.00835954752662765,false,4.0,13.550000000000026,6.25,15.974999999999996,false,false
RN+,Écart local δ0101,delta_district,0.005434145876663099,0.004547980139413196,0.006320311613913002,0.00835954752662765,false,5.0,7.099999999999994,6.25,15.974999999999996,false,false
