department_correlation,mixing_weight,party,mean,sd,p05,p95,width90,simulations
1.0,0.25,LR,33.28333333333333,3.8875999881394034,26.0,39.0,13.0,300
1.0,0.25,DVD,23.97,2.3751289350673113,20.0,28.0,8.0,300
1.0,0.25,RN+,135.78333333333333,15.728562590377427,111.0,163.0,52.0,300
0.0,0.5,DIV,9.6,1.1681389022643145,8.0,11.0,3.0,300
0.0,0.5,NFP+,200.05666666666667,13.548875561665891,177.0,222.0,45.0,300
0.0,0.5,DVG,12.61,0.9205385947084598,11.0,14.0,3.0,300
0.0,0.5,ENS+,161.69666666666666,9.889928775924785,145.0,176.0,31.0,300
0.0,0.5,LR,33.70333333333333,4.40378245245122,27.0,41.0,14.0,300
0.0,0.5,DVD,23.776666666666667,2.3816724026758553,20.0,28.0,8.0,300
0.0,0.5,RN+,135.55666666666667,21.782447957448493,102.0,174.0,72.0,300
0.25,0.5,DIV,9.543333333333333,1.1190605631670139,8.0,11.0,3.0,300
0.25,0.5,NFP+,199.89666666666668,12.66784260809104,177.0,222.0,45.0,300
0.25,0.5,DVG,12.626666666666667,0.9183864479517835,11.0,14.0,3.0,300
0.25,0.5,ENS+,161.81333333333333,9.404963228707135,147.0,176.0,29.0,300
0.25,0.5,LR,33.37,4.172665469905995,26.0,40.0,14.0,300
0.25,0.5,DVD,23.863333333333333,2.521742686346626,20.0,28.0,8.0,300
0.25,0.5,RN+,135.88666666666666,19.601220584022325,105.0,169.0,64.0,300
0.5,0.5,DIV,9.593333333333334,1.1744018140988848,8.0,11.0,3.0,300
0.5,0.5,NFP+,201.79666666666665,13.008178115394497,181.0,225.0,44.0,300
0.5,0.5,DVG,12.54,0.9754854721391369,11.0,14.0,3.0,300
0.5,0.5,ENS+,162.29666666666665,10.193872621283438,146.0,178.0,32.0,300
0.5,0.5,LR,33.86666666666667,4.4257783423190125,27.0,41.0,14.0,300
0.5,0.5,DVD,24.01,2.4637641484655575,20.0,28.0,8.0,300
0.5,0.5,RN+,132.89666666666668,21.85676974075898,94.0,166.0,72.0,300
0.75,0.5,DIV,9.58,1.086678225243053,8.0,11.0,3.0,300
0.75,0.5,NFP+,199.12333333333333,12.771262245894109,176.0,219.0,43.0,300
0.75,0.5,DVG,12.576666666666666,0.990315423327921,11.0,14.0,3.0,300
0.75,0.5,ENS+,161.22,9.335708409382585,145.0,175.0,30.0,300
0.75,0.5,LR,33.81,4.192751349603106,27.0,40.0,13.0,300
0.75,0.5,DVD,23.816666666666666,2.4799643072916107,20.0,27.0,7.0,300
0.75,0.5,RN+,136.87333333333333,19.95573585548782,107.0,170.0,63.0,300
1.0,0.5,DIV,9.636666666666667,1.1815140599254672,8.0,11.0,3.0,300
1.0,0.5,NFP+,202.74666666666667,13.07845462865554,180.0,223.0,43.0,300
1.0,0.5,DVG,12.536666666666667,0.9618068744649916,11.0,14.0,3.0,300
1.0,0.5,ENS+,161.38333333333333,9.84850406559234,144.0,176.0,32.0,300
1.0,0.5,LR,33.65,4.09431043356771,26.0,40.0,14.0,300
1.0,0.5,DVD,23.983333333333334,2.412978194703786,20.0,28.0,8.0,300
1.0,0.5,RN+,133.06333333333333,19.707034605236668,104.0,166.0,62.0,300
0.0,0.75,DIV,9.62,1.1833290153327722,8.0,11.0,3.0,300
0.0,0.75,NFP+,200.59,14.841928540771395,177.0,224.0,47.0,300
0.0,0.75,DVG,12.62,0.9119789940666009,11.0,14.0,3.0,300
0.0,0.75,ENS+,161.11,12.29369825245471,139.0,180.0,41.0,300
0.0,0.75,LR,33.303333333333335,5.481924285180377,24.0,42.0,18.0,300
0.0,0.75,DVD,23.906666666666666,2.704750352704863,19.0,28.0,9.0,300
0.0,0.75,RN+,135.85,25.175786663254684,94.0,178.0,84.0,300
0.25,0.75,DIV,9.483333333333333,1.3745375223044896,7.0,11.0,4.0,300
0.25,0.75,NFP+,201.21666666666667,16.50346235758372,175.0,227.0,52.0,300
0.25,0.75,DVG,12.643333333333333,0.9587419757905137,11.0,14.0,3.0,300
0.25,0.75,ENS+,161.75333333333333,10.947999109604545,143.0,179.0,36.0,300
0.25,0.75,LR,33.96333333333333,4.95011795632123,26.0,42.0,16.0,300
0.25,0.75,DVD,23.826666666666668,3.0365591041284055,19.0,29.0,10.0,300
0.25,0.75,RN+,134.11333333333334,24.519062727034715,97.0,175.0,78.0,300
0.5,0.75,DIV,9.416666666666666,1.332531810367402,7.0,11.0,4.0,300
0.5,0.75,NFP+,200.33333333333334,16.667781456585754,170.0,227.0,57.0,300
0.5,0.75,DVG,12.536666666666667,1.0257498548727464,11.0,14.0,3.0,300
0.5,0.75,ENS+,161.31,11.804450439017653,140.0,178.0,38.0,300
0.5,0.75,LR,33.41,5.5205817394976515,24.0,42.0,18.0,300
0.5,0.75,DVD,23.88,2.675092596778249,19.0,28.0,9.0,300
0.5,0.75,RN+,136.11333333333334,25.294793485626453,95.0,179.0,84.0,300
0.75,0.75,DIV,9.473333333333333,1.3523009830351926,7.0,11.0,4.0,300
0.75,0.75,NFP+,200.08333333333334,16.858739946910248,172.0,228.0,56.0,300
0.75,0.75,DVG,12.63,0.9847159752128859,11.0,14.0,3.0,300
0.75,0.75,ENS+,161.96666666666667,12.268412095296698,143.0,181.0,38.0,300
0.75,0.75,LR,33.48,5.212180229277852,25.0,41.0,16.0,300
0.75,0.75,DVD,24.106666666666666,2.704255698925824,20.0,29.0,9.0,300
0.75,0.75,RN+,135.26,26.80997917338975,93.0,180.0,87.0,300
1.0,0.75,DIV,9.443333333333333,1.2131341794487167,7.0,11.0,4.0,300
1.0,0.75,NFP+,198.26333333333332,17.795023605095572,169.0,226.0,57.0,300
1.0,0.75,DVG,12.613333333333333,0.9522841167524281,11.0,14.0,3.0,300
1.0,0.75,ENS+,160.71,12.280959785136794,140.0,179.0,39.0,300
1.0,0.75,LR,33.013333333333335,5.414568069583766,24.0,41.0,17.0,300
1.0,0.75,DVD,23.96,3.0445521277952983,19.0,29.0,10.0,300
1.0,0.75,RN+,138.99666666666667,26.47893064524967,98.0,183.0,85.0,300
0.0,1.0,DIV,9.48,1.4293624183799303,7.0,12.0,5.0,300
0.0,1.0,NFP+,203.31333333333333,23.290412188033883,158.0,235.0,77.0,300
0.0,1.0,DVG,12.516666666666667,0.9998606368887386,11.0,14.0,3.0,300
0.0,1.0,ENS+,162.09,16.563304123219524,131.0,185.0,54.0,300
0.0,1.0,LR,33.45666666666666,7.9096986878978734,20.0,44.0,24.0,300
0.0,1.0,DVD,23.99,3.5962494398254434,18.0,29.0,11.0,300
0.0,1.0,RN+,132.15333333333334,35.75684075939219,80.0,196.0,116.0,300
0.25,1.0,DIV,9.48,1.4293624183799303,7.0,12.0,5.0,300
0.25,1.0,NFP+,203.31333333333333,23.290412188033883,158.0,235.0,77.0,300
0.25,1.0,DVG,12.516666666666667,0.9998606368887386,11.0,14.0,3.0,300
0.25,1.0,ENS+,162.09,16.563304123219524,131.0,185.0,54.0,300
0.25,1.0,LR,33.45666666666666,7.9096986878978734,20.0,44.0,24.0,300
0.25,1.0,DVD,23.99,3.5962494398254434,18.0,29.0,11.0,300
0.25,1.0,RN+,132.15333333333334,35.75684075939219,80.0,196.0,116.0,300
0.5,1.0,DIV,9.48,1.4293624183799303,7.0,12.0,5.0,300
0.5,1.0,NFP+,203.31333333333333,23.290412188033883,158.0,235.0,77.0,300
0.5,1.0,DVG,12.516666666666667,0.9998606368887386,11.0,14.0,3.0,300
0.5,1.0,ENS+,162.09,16.563304123219524,131.0,185.0,54.0,300
0.5,1.0,LR,33.45666666666666,7.9096986878978734,20.0,44.0,24.0,300
