parti,parametre,colonne,amplitude_p05,amplitude_p50,amplitude_p95,amplitude_largeur,plancher_p50,plancher_largeur,amplitude_max,decale_vraiment,elargit_vraiment
RN+,Concentration α,alpha,26.5,27.25,32.55000000000001,14.550000000000011,6.25,15.974999999999996,32.55000000000001,true,false
RN+,Mélange national λ,mixing_weight,16.549999999999983,6.0,27.025000000000006,39.57499999999999,6.25,15.974999999999996,27.025000000000006,false,true
RN+,Démobilisation d,qualified_demobilisation,20.5,16.0,19.94999999999999,20.99999999999997,6.25,15.974999999999996,20.5,true,true
RN+,Dérive nationale δnat,delta_nat,12.0,8.0,15.524999999999977,16.999999999999986,6.25,15.974999999999996,15.524999999999977,true,true
RN+,Corrélation département ρd,department_correlation,7.4750000000000085,5.0,14.025000000000006,15.525000000000006,6.25,15.974999999999996,14.025000000000006,false,false
RN+,Tilt τ,tilt,5.550000000000011,2.25,10.950000000000045,9.975000000000037,6.25,15.974999999999996,10.950000000000045,false,false
RN+,Corrélation région ρr,region_correlation,9.574999999999989,5.0,4.074999999999989,10.649999999999977,6.25,15.974999999999996,9.574999999999989,false,false
RN+,Rétention des non-exprimés,non_expressed_retention,7.625,4.0,9.450000000000017,13.550000000000026,6.25,15.974999999999996,9.450000000000017,false,false
RN+,Écart local δ0101,delta_district,6.950000000000017,5.0,7.525000000000006,7.099999999999994,6.25,15.974999999999996,7.525000000000006,false,false
